,Pokemon,Cluster
687,Tyranitar,1
688,Tyrantrum,1
689,Tyrogue,13
690,Tyrunt,1
691,Umbreon,4
692,Unfezant,16
693,Unown,1
694,Ursaring,13
695,Uxie,10
696,Vanillish,17
697,Vanillite,17
698,Vanilluxe,17
699,Vaporeon,15
700,Venipede,14
701,Venomoth,0
702,Venonat,0
703,Venusaur,3
704,Vespiquen,0
705,Vibrava,0
706,Victini,11
707,Victreebel,3
708,Vigoroth,13
709,Vileplume,3
710,Virizion,3
711,Vivillon,0
712,Volbeat,0
713,Volcanion,11
714,Volcarona,0
715,Voltorb,9
716,Vullaby,7
717,Vulpix,11
718,Wailmer,15
719,Wailord,15
720,Walrein,5
721,Wartortle,15
722,Watchog,4
723,Weavile,13
724,Weedle,12
725,Weepinbell,3
726,Weezing,14
727,Whimsicott,3
728,Whirlipede,14
729,Whiscash,5
730,Whismur,4
731,Wigglytuff,4
732,Wingull,16
733,Wobbuffet,4
734,Woobat,10
735,Wooper,5
736,Wormadam,3
737,Wormadam-Sandy,2
738,Wormadam-Trash,0
739,Wurmple,12
740,Wynaut,4
741,Xatu,10
742,Yamask,6
743,Yanma,0
744,Yanmega,0
745,Yveltal,7
746,Zangoose,13
747,Zapdos,16
748,Zebstrika,9
749,Zekrom,1
750,Zigzagoon,4
751,Zoroark,6
752,Zorua,6
753,Zubat,7
754,Zweilous,1
755,Zygarde,1
