,Pokemon,Cluster
438,Munna,10
439,Murkrow,4
440,Musharna,10
441,Natu,6
442,Nidoking,3
443,Nidoqueen,3
444,Nidoran-F,3
445,Nidoran-M,8
446,Nidorina,3
447,Nidorino,8
448,Nincada,8
449,Ninetales,13
450,Ninjask,8
451,Noctowl,4
452,Noibat,4
453,Noivern,4
454,Nosepass,16
455,Numel,11
456,Nuzleaf,2
457,Octillery,17
458,Oddish,2
459,Omanyte,17
460,Omastar,17
461,Onix,16
462,Oshawott,17
463,Pachirisu,12
464,Palkia,5
465,Palpitoad,17
466,Pancham,3
467,Pangoro,3
468,Panpour,15
469,Pansage,15
470,Pansear,15
471,Paras,2
472,Parasect,2
473,Patrat,0
474,Pawniard,5
475,Pelipper,4
476,Persian,0
477,Petilil,2
478,Phanpy,16
479,Phantump,10
480,Phione,17
481,Pichu,12
482,Pidgeot,4
483,Pidgeotto,4
484,Pidgey,4
485,Pidove,4
486,Pignite,13
487,Pikachu,12
488,Piloswine,16
489,Pineco,16
490,Pinsir,3
491,Piplup,17
492,Plusle,12
493,Politoed,17
494,Poliwag,17
495,Poliwhirl,17
496,Poliwrath,17
497,Ponyta,13
498,Poochyena,13
499,Porygon,12
500,Porygon2,12
501,Porygon-Z,12
502,Primeape,3
503,Prinplup,17
504,Probopass,16
505,Psyduck,17
506,Pumpkaboo,10
507,Pumpkaboo-Large,14
508,Pumpkaboo-Small,14
509,Pumpkaboo-Super,14
510,Pupitar,16
511,Purrloin,0
512,Purugly,0
513,Pyroar,13
514,Quagsire,11
515,Quilava,13
516,Quilladin,3
517,Qwilfish,17
518,Raichu,12
519,Raikou,12
520,Ralts,7
521,Rampardos,5
522,Rapidash,13
523,Raticate,0
524,Rattata,0
525,Regice,16
526,Regigigas,16
527,Regirock,16
528,Registeel,16
529,Relicanth,17
530,Remoraid,17
531,Reshiram,5
532,Reuniclus,10
533,Rhydon,3
534,Rhyhorn,16
535,Rhyperior,3
536,Riolu,3
537,Roggenrola,16
538,Roselia,2
539,Roserade,2
540,Rotom,12
541,Rotom-Fan,12
542,Rotom-Frost,12
543,Rotom-Heat,12
544,Rotom-Mow,12
545,Rotom-Wash,12
546,Rufflet,4
547,Sableye,7
548,Salamence,5
549,Samurott,17
550,Sandile,5
551,Sandshrew,3
552,Sandslash,3
553,Sawk,3
554,Sawsbuck,2
555,Scatterbug,14
556,Sceptile,2
557,Scizor,8
558,Scolipede,8
559,Scrafty,3
560,Scraggy,3
561,Scyther,8
562,Seadra,17
563,Seaking,17
564,Sealeo,11
565,Seedot,2
566,Seel,11
567,Seismitoad,17
568,Sentret,0
569,Serperior,2
570,Servine,2
571,Seviper,11
572,Sewaddle,8
573,Sharpedo,5
574,Shaymin,2
575,Shaymin-Sky,2
576,Shedinja,8
577,Shelgon,5
578,Shellder,17
579,Shellos,11
580,Shelmet,8
581,Shieldon,16
582,Shiftry,2
583,Shinx,12
584,Shroomish,2
585,Shuckle,16
586,Shuppet,10
587,Sigilyph,6
588,Silcoon,14
589,Simipour,15
590,Simisage,15
591,Simisear,15
592,Skarmory,4
593,Skiddo,2
594,Skiploom,2
595,Skitty,0
596,Skorupi,8
597,Skrelp,17
598,Skuntank,15
599,Slaking,3
600,Slakoth,3
601,Sliggoo,11
602,Slowbro,7
603,Slowking,7
604,Slowpoke,7
605,Slugma,11
606,Slurpuff,10
607,Smeargle,14
608,Smoochum,7
609,Sneasel,0
610,Snivy,2
611,Snorlax,3
612,Snorunt,9
613,Snover,2
614,Snubbull,3
615,Solosis,10
616,Solrock,10
617,Spearow,4
618,Spewpa,14
619,Spheal,11
620,Spinarak,8
621,Spinda,7
622,Spiritomb,10
623,Spoink,10
624,Spritzee,10
625,Squirtle,17
626,Stantler,10
627,Staraptor,4
628,Staravia,4
629,Starly,4
630,Starmie,10
631,Staryu,17
632,Steelix,16
633,Steelix-Mega,16
634,Stoutland,13
635,Stunfisk,16
636,Stunky,15
637,Sudowoodo,16
638,Suicune,17
639,Sunflora,2
640,Sunkern,2
641,Surskit,17
642,Swablu,4
643,Swadloon,8
644,Swalot,11
645,Swampert,16
646,Swanna,4
647,Swellow,4
648,Swinub,16
649,Swirlix,10
650,Swoobat,6
651,Sylveon,0
652,Taillow,4
653,Talonflame,4
654,Tangela,2
655,Tangrowth,2
656,Tauros,5
657,Teddiursa,3
658,Tentacool,17
659,Tentacruel,17
660,Tepig,13
661,Terrakion,16
662,Throh,3
663,Thundurus,12
664,Thundurus-Therian,12
665,Timburr,3
666,Tirtouga,16
667,Togekiss,6
668,Togepi,6
669,Togetic,6
670,Torchic,15
671,Torkoal,13
672,Tornadus,15
673,Tornadus-Therian,15
674,Torterra,2
675,Totodile,5
676,Toxicroak,3
677,Tranquill,4
678,Trapinch,8
679,Treecko,2
680,Trevenant,10
681,Tropius,2
682,Trubbish,11
683,Turtwig,2
684,Tympole,17
685,Tynamo,14
686,Typhlosion,13
687,Tyranitar,5
688,Tyrantrum,5
689,Tyrogue,3
690,Tyrunt,5
691,Umbreon,0
692,Unfezant,4
693,Unown,8
694,Ursaring,3
695,Uxie,7
696,Vanillish,9
697,Vanillite,9
698,Vanilluxe,9
699,Vaporeon,0
700,Venipede,8
701,Venomoth,8
702,Venonat,8
703,Venusaur,2
704,Vespiquen,8
705,Vibrava,8
706,Victini,15
707,Victreebel,2
708,Vigoroth,3
709,Vileplume,2
710,Virizion,2
711,Vivillon,8
712,Volbeat,8
713,Volcanion,13
714,Volcarona,13
715,Voltorb,12
716,Vullaby,4
717,Vulpix,13
718,Wailmer,17
719,Wailord,17
720,Walrein,11
721,Wartortle,17
722,Watchog,0
723,Weavile,0
724,Weedle,14
725,Weepinbell,2
726,Weezing,11
727,Whimsicott,2
728,Whirlipede,8
729,Whiscash,17
730,Whismur,3
731,Wigglytuff,7
732,Wingull,4
733,Wobbuffet,14
734,Woobat,6
735,Wooper,11
736,Wormadam,2
737,Wormadam-Sandy,8
738,Wormadam-Trash,8
739,Wurmple,14
740,Wynaut,14
741,Xatu,6
742,Yamask,10
743,Yanma,8
744,Yanmega,8
745,Yveltal,4
746,Zangoose,3
747,Zapdos,4
748,Zebstrika,12
749,Zekrom,5
750,Zigzagoon,0
751,Zoroark,0
752,Zorua,0
753,Zubat,4
754,Zweilous,5
755,Zygarde,5
